Name,Geometry,L* (D65/10),a* (D65/10),b* (D65/10),r,g,b
PAR_EW_ROsi_NG_1,15as-45,47.1861263,27.02588639,22.09278073,163,93,76
PAR_EW_ROsi_NG_1,15as-30,47.0845758,26.75129619,22.04026512,163,93,76
PAR_EW_ROsi_NG_1,15as-15,47.07179607,26.11401042,21.14766882,162,93,77
PAR_EW_ROsi_NG_1,15as15,46.33952469,26.97439014,23.0887427,161,91,73
PAR_EW_ROsi_NG_1,15as45,44.26893933,28.7278449,25.88994298,158,84,63
PAR_EW_ROsi_NG_1,15as80,41.69742765,29.24048148,26.11882265,152,77,57
PAR_EW_ROsi_NG_1,45as-15,60.90232893,19.16961606,14.57374572,188,134,122
PAR_EW_ROsi_NG_1,45as15,49.67543154,23.25377882,19.42371556,164,102,86
PAR_EW_ROsi_NG_1,45as25,47.11942115,24.64264296,21.20334134,160,95,77
PAR_EW_ROsi_NG_1,45as45,44.12370164,26.69489687,23.84046564,155,86,66
PAR_EW_ROsi_NG_1,45as75,43.9397156,27.19125234,26.24456381,156,85,62
PAR_EW_ROsi_NG_1,45as110,43.68611522,27.76445204,27.24115883,156,83,59
PAR_EW_ROz_NG_1,15as-45,39.79270885,18.69938088,13.65312931,129,82,72
PAR_EW_ROz_NG_1,15as-30,40.3950179,18.90909812,14.15577974,131,83,73
PAR_EW_ROz_NG_1,15as-15,40.51707575,18.90308999,14.22847471,132,83,73
PAR_EW_ROz_NG_1,15as15,41.39010077,19.8908237,15.56304686,136,85,73
PAR_EW_ROz_NG_1,15as45,40.484064,20.95607718,16.49429092,135,82,70
PAR_EW_ROz_NG_1,15as80,38.60787316,20.36589796,15.05455646,129,78,68
PAR_EW_ROz_NG_1,45as-15,54.86757038,11.86479776,10.71909973,158,124,113
PAR_EW_ROz_NG_1,45as15,45.66132285,15.28509417,12.82449986,140,98,87
PAR_EW_ROz_NG_1,45as25,43.67626765,16.37488238,13.47173931,136,93,82
PAR_EW_ROz_NG_1,45as45,41.57114524,17.51775141,14.14493071,132,87,76
PAR_EW_ROz_NG_1,45as75,43.19117528,18.44802169,15.60825498,139,90,77
PAR_EW_ROz_NG_1,45as110,44.10052992,18.59660057,15.27979679,141,92,80
PAR_EW_ROsi_NG_3,15as-45,41.2354432,22.2548419,18.44759509,139,82,68
PAR_EW_ROsi_NG_3,15as-30,40.92594803,22.27116448,18.21620421,138,82,68
PAR_EW_ROsi_NG_3,15as-15,40.24305731,22.38640932,18.08142019,137,80,66
PAR_EW_ROsi_NG_3,15as15,41.0041805,22.71001094,19.08129273,140,81,67
PAR_EW_ROsi_NG_3,15as45,40.63270958,23.85406462,20.65674221,140,79,63
PAR_EW_ROsi_NG_3,15as80,40.99099522,24.8040668,21.3936646,143,80,63
PAR_EW_ROsi_NG_3,45as-15,57.42170243,14.88264279,14.51388836,172,128,113
PAR_EW_ROsi_NG_3,45as15,48.82499234,17.42238535,16.2209609,153,104,89
PAR_EW_ROsi_NG_3,45as25,46.30873392,18.70071188,17.14189366,148,97,82
PAR_EW_ROsi_NG_3,45as45,44.23327872,19.82389387,17.95034032,144,91,76
PAR_EW_ROsi_NG_3,45as75,45.11716241,20.60353401,19.44666832,148,93,75
PAR_EW_ROsi_NG_3,45as110,48.15243692,21.53418354,20.66705196,158,100,81
PAR_EW_ROsi_NG_2,15as-45,42.46403619,22.94647186,18.27318431,144,85,71
PAR_EW_ROsi_NG_2,15as-30,41.7141864,23.07041556,18.29468069,142,83,70
PAR_EW_ROsi_NG_2,15as-15,40.99930089,23.10945638,18.06375283,140,81,68
PAR_EW_ROsi_NG_2,15as15,40.99862158,23.66088371,19.48633346,141,81,66
PAR_EW_ROsi_NG_2,15as45,40.38931673,24.61556311,20.8117326,141,78,62
PAR_EW_ROsi_NG_2,15as80,40.05326341,25.23501196,21.14303782,141,77,61
PAR_EW_ROsi_NG_2,45as-15,58.04676143,16.14693384,14.83111703,176,129,114
PAR_EW_ROsi_NG_2,45as15,48.58196233,19.0754775,17.12507859,155,103,87
PAR_EW_ROsi_NG_2,45as25,45.86457829,20.17678518,18.05730401,149,95,79
PAR_EW_ROsi_NG_2,45as45,43.47591137,21.76435383,19.51235491,145,88,72
PAR_EW_ROsi_NG_2,45as75,43.72737752,22.36880218,21.01159474,147,88,70
PAR_EW_ROsi_NG_2,45as110,45.64454805,23.22182535,22.25947372,154,92,72
PAR_EW_ROz_NG_2,15as-45,34.22602068,13.60228985,9.993862231,106,72,65
PAR_EW_ROz_NG_2,15as-30,34.04898307,14.08971322,10.30696329,107,71,64
PAR_EW_ROz_NG_2,15as-15,33.73592063,14.60710045,10.79526183,107,70,63
PAR_EW_ROz_NG_2,15as15,35.21638874,16.4330884,12.95325511,114,72,63
PAR_EW_ROz_NG_2,15as45,34.88089545,17.33462548,13.58035109,114,71,61
PAR_EW_ROz_NG_2,15as80,33.96677863,16.1686238,11.92190313,110,70,62
PAR_EW_ROz_NG_2,45as-15,50.37923387,7.927780144,9.281811343,139,115,105
PAR_EW_ROz_NG_2,45as15,41.07248383,10.79190555,10.24162273,120,90,81
PAR_EW_ROz_NG_2,45as25,38.8489731,11.96638253,10.73360796,116,84,75
PAR_EW_ROz_NG_2,45as45,37.35983527,13.12654258,11.22040361,114,80,70
PAR_EW_ROz_NG_2,45as75,38.86277372,15.6899832,13.2611102,122,82,71
PAR_EW_ROz_NG_2,45as110,41.68164765,16.35527491,13.8421721,131,88,76
PAR_EW_YOz_NG_3,15as-45,60.52056968,17.31824259,39.71501236,194,133,76
PAR_EW_YOz_NG_3,15as-30,60.18812224,17.62300361,40.43639678,193,132,74
PAR_EW_YOz_NG_3,15as-15,59.44940263,18.24736668,40.39637285,192,130,72
PAR_EW_YOz_NG_3,15as15,60.68266223,17.98140503,41.26066481,195,133,73
PAR_EW_YOz_NG_3,15as45,60.55372524,18.02139103,42.28526502,195,133,71
PAR_EW_YOz_NG_3,15as80,60.23641408,17.8651272,43.08559689,194,132,69
PAR_EW_YOz_NG_3,45as-15,68.20929612,14.70677061,33.11110932,210,155,107
PAR_EW_YOz_NG_3,45as15,62.50288569,16.29410786,37.78991712,197,139,84
PAR_EW_YOz_NG_3,45as25,61.2950119,16.92760591,39.09930459,195,135,79
PAR_EW_YOz_NG_3,45as45,59.94167908,17.69584136,40.99906206,193,131,72
PAR_EW_YOz_NG_3,45as75,61.08840997,17.11109387,41.66874624,195,135,73
PAR_EW_YOz_NG_3,45as110,63.27935098,16.71461255,42.43443118,201,140,77
PAR_PW_CN_CC_3,15as-45,40.26449876,27.95104023,15.97369379,143,75,70
PAR_PW_CN_CC_3,15as-30,41.1763121,28.82353038,16.51819287,147,77,71
PAR_PW_CN_CC_3,15as-15,42.13845682,28.82160201,16.22138335,150,79,74
PAR_PW_CN_CC_3,15as15,44.07616974,29.50243742,17.18953115,156,83,77
PAR_PW_CN_CC_3,15as45,42.12006912,32.98802399,20.74203142,156,75,67
PAR_PW_CN_CC_3,15as80,42.52113112,34.89790958,22.1006246,160,74,66
